Name,Author,UserRating,Review,Price,Year,Genre,User Rating,Reviews
Becoming,Michelle Obama,,,11,2019,Non Fiction,4.8,61133.0
Being Mortal: Medicine and What Matters in the End,Atul Gawande,,,15,2015,Non Fiction,4.8,11113.0
Between the World and Me,Ta-Nehisi Coates,,,13,2015,Non Fiction,4.7,10070.0
Between the World and Me,Ta-Nehisi Coates,,,13,2016,Non Fiction,4.7,10070.0
Born to Run,Bruce Springsteen,,,18,2016,Non Fiction,4.7,3729.0
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,,,13,2009,Fiction,4.6,9769.0
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,,,8,2010,Non Fiction,4.5,471.0
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,,,5,2017,Fiction,4.9,14344.0
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,,,5,2019,Fiction,4.9,14344.0
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,,,0,2011,Fiction,4.8,4505.0
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,,,4,2016,Non Fiction,4.6,10369.0
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,,,18,2019,Non Fiction,4.8,16244.0
Capital in the Twenty First Century,Thomas Piketty,,,28,2014,Non Fiction,4.5,2884.0
Catching Fire (The Hunger Games),Suzanne Collins,,,11,2010,Fiction,4.7,22614.0
Catching Fire (The Hunger Games),Suzanne Collins,,,11,2011,Fiction,4.7,22614.0
Catching Fire (The Hunger Games),Suzanne Collins,,,11,2012,Fiction,4.7,22614.0
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,,,16,2016,Non Fiction,4.7,4761.0
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,,,14,2009,Non Fiction,4.7,1542.0
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,,,14,2010,Non Fiction,4.7,1542.0
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,,,14,2011,Non Fiction,4.7,1542.0
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,,,8,2018,Fiction,4.3,6143.0
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,,,4,2015,Non Fiction,4.8,4022.0
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,,,5,2015,Non Fiction,4.8,3871.0
Cutting for Stone,Abraham Verghese,,,11,2010,Fiction,4.6,4866.0
Cutting for Stone,Abraham Verghese,,,11,2011,Fiction,4.6,4866.0
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,,,10,2013,Non Fiction,4.8,1329.0
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,,,13,2013,Non Fiction,4.4,4642.0
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,,,4,2009,Fiction,4.6,1541.0
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,,,8,2010,Fiction,4.3,1924.0
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,,,4,2011,Fiction,4.2,2094.0
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,,,5,2015,Fiction,4.8,10922.0
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,,,5,2016,Fiction,4.8,10922.0
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,,,5,2017,Fiction,4.8,10922.0
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,,,5,2018,Fiction,4.8,10922.0
Decision Points,George W. Bush,,,17,2010,Non Fiction,4.6,2137.0
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,,,15,2010,Non Fiction,4.6,1651.0
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,,,105,2013,Non Fiction,4.5,6679.0
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,,,105,2014,Non Fiction,4.5,6679.0
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,,,0,2013,Fiction,4.8,6812.0
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,,,15,2009,Fiction,4.8,3837.0
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,,,22,2014,Fiction,4.8,6540.0
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,,,5,2019,Non Fiction,4.6,7955.0
Divergent,Veronica Roth,,,15,2013,Fiction,4.6,27098.0
Divergent,Veronica Roth,,,15,2014,Fiction,4.6,27098.0
Divergent / Insurgent,Veronica Roth,,,6,2014,Fiction,4.5,17684.0
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,,,6,2009,Non Fiction,4.6,37.0
Doctor Sleep: A Novel,Stephen King,,,13,2013,Fiction,4.7,15845.0
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,,,12,2009,Fiction,4.8,3181.0
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,,,6,2018,Fiction,4.9,5062.0
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,,,8,2017,Fiction,4.9,4786.0
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,,,4,2018,Fiction,4.9,7235.0
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,,,4,2019,Fiction,4.9,7235.0
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,,,8,2019,Fiction,4.9,12619.0
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,,,8,2019,Fiction,4.9,9089.0
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,,,6,2018,Fiction,4.9,5470.0
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,,,20,2016,Fiction,4.8,5118.0
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,,,5,2015,Non Fiction,4.6,2134.0
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,,,16,2010,Non Fiction,4.5,2525.0
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,,,1,2009,Non Fiction,4.5,720.0
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,,,14,2009,Non Fiction,4.3,956.0
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,,,9,2011,Non Fiction,4.5,6346.0
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,,,9,2012,Non Fiction,4.5,6346.0
Eclipse (Twilight Sagas),Stephenie Meyer,,,7,2009,Fiction,4.7,5505.0
Eclipse (Twilight),Stephenie Meyer,,,18,2009,Fiction,4.7,5505.0
Educated: A Memoir,Tara Westover,,,15,2018,Non Fiction,4.7,28729.0
Educated: A Memoir,Tara Westover,,,15,2019,Non Fiction,4.7,28729.0
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,,,9,2015,Non Fiction,4.7,5413.0
Fahrenheit 451,Ray Bradbury,,,8,2016,Fiction,4.6,10721.0
Fahrenheit 451,Ray Bradbury,,,8,2018,Fiction,4.6,10721.0
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,,,15,2016,Fiction,4.7,4370.0
Fear: Trump in the White House,Bob Woodward,,,2,2018,Non Fiction,4.4,6042.0
Fifty Shades Darker,E L James,,,7,2012,Fiction,4.4,23631.0
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,,,11,2012,Fiction,4.5,20262.0
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,,,14,2012,Fiction,3.8,47265.0
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,,,14,2013,Fiction,3.8,47265.0
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,,,32,2012,Fiction,4.5,13964.0
Fire and Fury: Inside the Trump White House,Michael Wolff,,,6,2018,Non Fiction,4.2,13677.0
First 100 Words,Roger Priddy,,,4,2014,Non Fiction,4.7,17323.0
First 100 Words,Roger Priddy,,,4,2015,Non Fiction,4.7,17323.0
First 100 Words,Roger Priddy,,,4,2016,Non Fiction,4.7,17323.0
First 100 Words,Roger Priddy,,,4,2017,Non Fiction,4.7,17323.0
First 100 Words,Roger Priddy,,,4,2018,Non Fiction,4.7,17323.0
Food Rules: An Eater's Manual,Michael Pollan,,,9,2010,Non Fiction,4.4,1555.0
Frozen (Little Golden Book),RH Disney,,,0,2014,Fiction,4.7,3642.0
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,,,9,2010,Non Fiction,4.4,1215.0
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,,,5,2011,Fiction,4.6,5594.0
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,,,5,2012,Fiction,4.6,5594.0
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,,,5,2013,Fiction,4.6,5594.0
George Washington's Sacred Fire,Peter A. Lillback,,,20,2010,Non Fiction,4.5,408.0
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,,,16,2013,Non Fiction,4.6,4799.0
Giraffes Can't Dance,Giles Andreae,,,4,2015,Fiction,4.8,14038.0
Giraffes Can't Dance,Giles Andreae,,,4,2016,Fiction,4.8,14038.0
Giraffes Can't Dance,Giles Andreae,,,4,2017,Fiction,4.8,14038.0
Giraffes Can't Dance,Giles Andreae,,,4,2018,Fiction,4.8,14038.0
Giraffes Can't Dance,Giles Andreae,,,4,2019,Fiction,4.8,14038.0
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,,,12,2019,Non Fiction,4.6,7660.0
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,,,12,2018,Non Fiction,4.6,22288.0
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,,,12,2019,Non Fiction,4.6,22288.0
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,,,11,2009,Non Fiction,4.6,1365.0
Go Set a Watchman: A Novel,Harper Lee,,,19,2015,Fiction,3.6,14982.0
Go the F**k to Sleep,Adam Mansbach,,,9,2011,Fiction,4.8,9568.0
Going Rogue: An American Life,Sarah Palin,,,6,2009,Non Fiction,4.6,1636.0
Gone Girl,Gillian Flynn,,,10,2012,Fiction,4.0,57271.0
Gone Girl,Gillian Flynn,,,10,2013,Fiction,4.0,57271.0
Gone Girl,Gillian Flynn,,,9,2014,Fiction,4.0,57271.0
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,,,6,2019,Non Fiction,4.6,10141.0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,,,14,2009,Non Fiction,4.5,3457.0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,,,14,2010,Non Fiction,4.5,3457.0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,,,14,2011,Non Fiction,4.5,3457.0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,,,14,2012,Non Fiction,4.5,3457.0
Goodnight Moon,Margaret Wise Brown,,,5,2017,Fiction,4.8,8837.0
Goodnight Moon,Margaret Wise Brown,,,5,2018,Fiction,4.8,8837.0
Goodnight Moon,Margaret Wise Brown,,,5,2019,Fiction,4.8,8837.0
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,,,7,2012,Fiction,4.9,7038.0
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,,,7,2013,Fiction,4.9,7038.0
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,,,10,2014,Non Fiction,4.6,5972.0
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,,,14,2015,Fiction,4.4,25624.0
Guts,Raina Telgemeier,,,7,2019,Non Fiction,4.8,5476.0
Hamilton: The Revolution,Lin-Manuel Miranda,,,54,2016,Non Fiction,4.9,5867.0
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,,,11,2013,Non Fiction,4.8,4148.0
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,,,30,2016,Fiction,4.9,19622.0
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,,,12,2016,Fiction,4.0,23973.0
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,,,18,2019,Fiction,4.9,7758.0
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,,,30,2017,Fiction,4.9,3146.0
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,,,22,2016,Fiction,4.9,10052.0
Harry Potter Coloring Book,Scholastic,,,9,2015,Non Fiction,4.7,3564.0
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,,,52,2016,Fiction,4.8,13471.0
Have a Little Faith: A True Story,Mitch Albom,,,4,2009,Non Fiction,4.8,1930.0
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,,,10,2011,Non Fiction,4.7,15779.0
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,,,10,2012,Non Fiction,4.7,15779.0
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,,,14,2016,Non Fiction,4.4,15526.0
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,,,14,2017,Non Fiction,4.4,15526.0
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,,,22,2018,Non Fiction,4.8,3776.0
How to Win Friends & Influence People,Dale Carnegie,,,11,2014,Non Fiction,4.7,25001.0
How to Win Friends & Influence People,Dale Carnegie,,,11,2015,Non Fiction,4.7,25001.0
How to Win Friends & Influence People,Dale Carnegie,,,11,2016,Non Fiction,4.7,25001.0
How to Win Friends & Influence People,Dale Carnegie,,,11,2017,Non Fiction,4.7,25001.0
How to Win Friends & Influence People,Dale Carnegie,,,11,2018,Non Fiction,4.7,25001.0
Howard Stern Comes Again,Howard Stern,,,16,2019,Non Fiction,4.3,5272.0
Humans of New York,Brandon Stanton,,,15,2013,Non Fiction,4.8,3490.0
Humans of New York,Brandon Stanton,,,15,2014,Non Fiction,4.8,3490.0
Humans of New York : Stories,Brandon Stanton,,,17,2015,Non Fiction,4.9,2812.0
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,,,17,2013,Non Fiction,4.7,4896.0
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,,,7,2019,Non Fiction,4.8,9737.0
"I, Alex Cross",James Patterson,,,7,2009,Fiction,4.6,1320.0
If Animals Kissed Good Night,Ann Whitford Paul,,,4,2017,Fiction,4.8,16643.0
If Animals Kissed Good Night,Ann Whitford Paul,,,4,2019,Fiction,4.8,16643.0
If I Stay,Gayle Forman,,,9,2014,Fiction,4.3,7153.0
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,,,21,2011,Non Fiction,4.4,4571.0
Inferno,Dan Brown,,,14,2013,Fiction,4.1,29651.0
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,,,20,2011,Fiction,4.6,5299.0
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,,,13,2019,Non Fiction,4.4,7396.0
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,,,13,2018,Non Fiction,4.4,7396.0
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,,,12,2019,Non Fiction,4.8,7062.0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,,,8,2011,Non Fiction,4.9,19576.0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,,,8,2012,Non Fiction,4.9,19576.0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,,,8,2013,Non Fiction,4.9,19576.0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,,,8,2014,Non Fiction,4.9,19576.0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,,,8,2015,Non Fiction,4.9,19576.0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,,,8,2016,Non Fiction,4.9,19576.0
JOURNEY TO THE ICE P,RH Disney,,,0,2014,Fiction,4.6,978.0
Joyland (Hard Case Crime),Stephen King,,,12,2013,Fiction,4.5,4748.0
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,,,17,2017,Non Fiction,4.6,8393.0
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,,,12,2013,Non Fiction,4.5,11391.0
Killing Kennedy: The End of Camelot,Bill O'Reilly,,,25,2012,Non Fiction,4.6,8634.0
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,,,10,2011,Non Fiction,4.7,9342.0
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,,,10,2012,Non Fiction,4.7,9342.0
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,,,6,2014,Non Fiction,4.6,10927.0
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,,,5,2015,Non Fiction,4.6,5235.0
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,,,6,2016,Non Fiction,4.8,8916.0
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,,,8,2018,Non Fiction,4.8,2507.0
Knock-Knock Jokes for Kids,Rob Elliott,,,4,2013,Non Fiction,4.5,3673.0
Knock-Knock Jokes for Kids,Rob Elliott,,,4,2014,Non Fiction,4.5,3673.0
Knock-Knock Jokes for Kids,Rob Elliott,,,4,2015,Non Fiction,4.5,3673.0
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,,,13,2018,Fiction,4.9,11881.0
Laugh-Out-Loud Jokes for Kids,Rob Elliott,,,4,2013,Non Fiction,4.6,6990.0
Laugh-Out-Loud Jokes for Kids,Rob Elliott,,,4,2014,Non Fiction,4.6,6990.0
Laugh-Out-Loud Jokes for Kids,Rob Elliott,,,4,2015,Non Fiction,4.6,6990.0
Laugh-Out-Loud Jokes for Kids,Rob Elliott,,,4,2016,Non Fiction,4.6,6990.0
Laugh-Out-Loud Jokes for Kids,Rob Elliott,,,4,2017,Non Fiction,4.6,6990.0
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,,,13,2013,Non Fiction,4.5,6132.0
Leonardo da Vinci,Walter Isaacson,,,21,2017,Non Fiction,4.5,3014.0
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,,,6,2018,Non Fiction,4.4,7550.0
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,,,15,2009,Non Fiction,4.8,3828.0
Life,Keith Richards,,,18,2010,Non Fiction,4.5,2752.0
Little Bee: A Novel,Chris Cleave,,,10,2010,Fiction,4.1,1467.0
Little Blue Truck,Alice Schertle,,,0,2014,Fiction,4.9,1884.0
Little Fires Everywhere,Celeste Ng,,,12,2018,Fiction,4.5,25706.0
Looking for Alaska,John Green,,,7,2014,Fiction,4.5,8491.0
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,,,13,2011,Non Fiction,4.2,1649.0
Love You Forever,Robert Munsch,,,5,2014,Fiction,4.8,18613.0
Love You Forever,Robert Munsch,,,5,2015,Fiction,4.8,18613.0
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,,,16,2018,Non Fiction,4.8,9867.0
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,,,20,2014,Non Fiction,4.5,1386.0
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,,,11,2017,Non Fiction,4.7,10199.0
"Mastering the Art of French Cooking, Vol. 2",Julia Child,,,27,2009,Non Fiction,4.8,2926.0
Milk and Honey,Rupi Kaur,,,8,2016,Non Fiction,4.7,17739.0
Milk and Honey,Rupi Kaur,,,8,2017,Non Fiction,4.7,17739.0
Milk and Honey,Rupi Kaur,,,8,2018,Non Fiction,4.7,17739.0
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,,,6,2017,Non Fiction,4.4,3113.0
Mindset: The New Psychology of Success,Carol S. Dweck,,,10,2014,Non Fiction,4.6,5542.0
Mindset: The New Psychology of Success,Carol S. Dweck,,,10,2015,Non Fiction,4.6,5542.0
Mindset: The New Psychology of Success,Carol S. Dweck,,,10,2016,Non Fiction,4.6,5542.0
Mockingjay (The Hunger Games),Suzanne Collins,,,8,2010,Fiction,4.5,26741.0
Mockingjay (The Hunger Games),Suzanne Collins,,,8,2011,Fiction,4.5,26741.0
Mockingjay (The Hunger Games),Suzanne Collins,,,8,2012,Fiction,4.5,26741.0
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,,,16,2019,Non Fiction,4.8,5347.0
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,,,11,2019,Non Fiction,4.8,7866.0
New Moon (The Twilight Saga),Stephenie Meyer,,,10,2009,Fiction,4.6,5680.0
Night (Night),Elie Wiesel,,,9,2016,Non Fiction,4.7,5178.0
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,,,14,2012,Non Fiction,4.6,8093.0
Obama: An Intimate Portrait,Pete Souza,,,22,2017,Non Fiction,4.9,3192.0
"Oh, the Places You'll Go!",Dr. Seuss,,,8,2012,Fiction,4.9,21834.0
"Oh, the Places You'll Go!",Dr. Seuss,,,8,2013,Fiction,4.9,21834.0
"Oh, the Places You'll Go!",Dr. Seuss,,,8,2014,Fiction,4.9,21834.0
"Oh, the Places You'll Go!",Dr. Seuss,,,8,2015,Fiction,4.9,21834.0
"Oh, the Places You'll Go!",Dr. Seuss,,,8,2016,Fiction,4.9,21834.0
"Oh, the Places You'll Go!",Dr. Seuss,,,8,2017,Fiction,4.9,21834.0
"Oh, the Places You'll Go!",Dr. Seuss,,,8,2018,Fiction,4.9,21834.0
"Oh, the Places You'll Go!",Dr. Seuss,,,8,2019,Fiction,4.9,21834.0
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,,,7,2015,Fiction,4.8,6169.0
Olive Kitteridge,Elizabeth Strout,,,12,2009,Fiction,4.2,4519.0
